dataset,method,hyperparam,val_split,run_idx,file,accuracy,precision_macro,recall_macro,f1_macro,fpr_macro,n_samples
mnist,Ising,0.1,val0.895,0,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run0.csv,0.4825,0.44449638186943935,0.4646726549745355,0.4163325051246828,0.0575574183340379,6000
mnist,Ising,0.1,val0.895,1,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run1.csv,0.459,0.4413231476246905,0.4479073837703774,0.4378866106001735,0.06004964736847808,6000
mnist,Ising,0.1,val0.895,2,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run2.csv,0.4018333333333333,0.4189279255078164,0.393505452268278,0.35912314292912967,0.06651415412875408,6000
mnist,Ising,0.1,val0.895,3,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run3.csv,0.49466666666666664,0.4522483972109117,0.48031393224147323,0.43652396696113815,0.05621152719798794,6000
mnist,Ising,0.1,val0.895,4,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run4.csv,0.431,0.3873027096907347,0.42122029835008884,0.36482874946900107,0.06319483621228565,6000
mnist,Ising,0.1,val0.895,5,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run5.csv,0.5065,0.48282153126870114,0.49757544151225297,0.48205832303225116,0.05484387526210503,6000
mnist,Ising,0.1,val0.895,6,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run6.csv,0.5128333333333334,0.4795770806662848,0.4990400946987005,0.46504659769947415,0.054204188578906264,6000
mnist,Ising,0.1,val0.895,7,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run7.csv,0.47883333333333333,0.47242072483021647,0.4700383431659504,0.4539502397285379,0.05786474737351529,6000
mnist,Ising,0.1,val0.895,8,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run8.csv,0.455,0.43469575462006266,0.443557783192517,0.40952884675287315,0.06068424709709967,6000
mnist,Ising,0.1,val0.895,9,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run9.csv,0.43366666666666664,0.36576967758508605,0.42376180398411556,0.3785144503721654,0.06306037472918116,6000
mnist,Ising,0.1,val0.8,0,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run0.csv,0.9146666666666666,0.9132761127927276,0.9134957618115385,0.913137742127047,0.009458038126076523,6000
mnist,Ising,0.1,val0.8,1,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run1.csv,0.9135,0.9127771604455631,0.911659482438505,0.9117488835697746,0.009603769828896562,6000
mnist,Ising,0.1,val0.8,2,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run2.csv,0.9115,0.9110557589762204,0.9109798084472178,0.9108607493728643,0.009835079179238275,6000
mnist,Ising,0.1,val0.8,3,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run3.csv,0.91,0.90899132351866,0.9089577581789143,0.9088389801274024,0.009990863342709794,6000
mnist,Ising,0.1,val0.8,4,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run4.csv,0.9041666666666667,0.9031378208083503,0.9029395135058806,0.9028293078285637,0.010638395839359716,6000
mnist,Ising,0.1,val0.8,5,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run5.csv,0.9126666666666666,0.9121092209593437,0.9111809672005903,0.9114541986993524,0.009689162010049905,6000
mnist,Ising,0.1,val0.8,6,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run6.csv,0.9171666666666667,0.9156721839373801,0.9158816469244506,0.9155330652716079,0.00918209137202693,6000
mnist,Ising,0.1,val0.8,7,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run7.csv,0.9111666666666667,0.9092658530429478,0.9090471046411185,0.9090404310724512,0.009856007223437421,6000
mnist,Ising,0.1,val0.8,8,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run8.csv,0.9053333333333333,0.9058398318025566,0.9036777279032938,0.9042009329962232,0.01050746367849784,6000
mnist,Ising,0.1,val0.8,9,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run9.csv,0.905,0.9047107702248539,0.9038250635222262,0.9040633534624629,0.010549905123911376,6000
mnist,Ising,0.1,val0.6,0,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run0.csv,0.9561666666666667,0.9552469375927654,0.9551882707116526,0.9551824563979873,0.004860257630852654,6000
mnist,Ising,0.1,val0.6,1,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run1.csv,0.9548333333333333,0.9545041545868604,0.9540472151660234,0.9541060427312335,0.0050126154454819966,6000
mnist,Ising,0.1,val0.6,2,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run2.csv,0.9568333333333333,0.9568710889968992,0.9568671763668182,0.9567803722251801,0.0047955281389654636,6000
mnist,Ising,0.1,val0.6,3,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run3.csv,0.954,0.953465779911936,0.9535010801213817,0.953367005907279,0.005102708867714587,6000
mnist,Ising,0.1,val0.6,4,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run4.csv,0.9516666666666667,0.9510422375886372,0.9511712345427096,0.9509335882690841,0.005360766698929089,6000
